Folder Name,batch_size,learning_rate,dropout_rate,n_hidden_layers,first_layer_nodes,epochs,patience,Test Accuracy,Test F1 Score,Test Precision,Test Recall,Test Loss,Validation Loss Min,Validation Accuracy Max,Validation F1 Max,VALIDATION MACRO F1,Val F1 @ Min Loss
BS_128_LR_0.0001_DO_0.2_FLN_64_EP_100_PAT_15_HL_3,128,0.0001,0.2,3,64,100,15,0.978,0.978,0.9781,0.978,0.1137,0.09,0.9865,0.9865,0.9749,0.9754720462134464
BS_32_LR_0.001_DO_0.3_FLN_256_EP_100_PAT_15_HL_2,32,0.001,0.3,2,256,100,15,0.97,0.9699,0.9726,0.97,0.0718,0.0575,0.9895,0.9895,0.9733,0.9734535867389557
BS_64_LR_0.0001_DO_0.2_FLN_64_EP_100_PAT_15_HL_2,64,0.0001,0.2,2,64,100,15,0.978,0.978,0.9781,0.978,0.1102,0.086,0.977,0.977,0.973,0.9734962151090987
BS_64_LR_0.0001_DO_0.3_FLN_64_EP_100_PAT_15_HL_2,64,0.0001,0.3,2,64,100,15,0.978,0.978,0.9781,0.978,0.1001,0.082,0.9875,0.9875,0.973,0.9734620333028747
BS_64_LR_0.01_DO_0.3_FLN_256_EP_100_PAT_15_HL_3,64,0.01,0.3,3,256,100,15,0.975,0.975,0.9752,0.975,0.1068,0.0929,0.973,0.973,0.9727,0.9729673978999521
BS_64_LR_0.01_DO_0.3_FLN_64_EP_100_PAT_15_HL_2,64,0.01,0.3,2,64,100,15,0.981,0.981,0.9812,0.981,0.0864,0.0797,0.9915,0.9915,0.9726,0.9729523945731926
BS_128_LR_0.0001_DO_0.2_FLN_128_EP_100_PAT_15_HL_2,128,0.0001,0.2,2,128,100,15,0.978,0.978,0.9781,0.978,0.1009,0.0825,0.98,0.98,0.9721,0.972448309264357
BS_64_LR_0.01_DO_0.3_FLN_64_EP_100_PAT_15_HL_3,64,0.01,0.3,3,64,100,15,0.976,0.976,0.976,0.976,0.1134,0.105,0.973,0.973,0.9718,0.9729656730814011
BS_128_LR_0.01_DO_0.3_FLN_128_EP_100_PAT_15_HL_2,128,0.01,0.3,2,128,100,15,0.97,0.97,0.9731,0.97,0.1113,0.077,0.981,0.981,0.9717,0.9719159370012842
BS_32_LR_0.01_DO_0.3_FLN_128_EP_100_PAT_15_HL_2,32,0.01,0.3,2,128,100,15,0.981,0.981,0.9811,0.981,0.0902,0.0755,0.972,0.972,0.9716,0.9719816016045327
BS_128_LR_0.0001_DO_0.2_FLN_64_EP_100_PAT_15_HL_2,128,0.0001,0.2,2,64,100,15,0.976,0.976,0.9762,0.976,0.1327,0.1157,0.979,0.979,0.9698,0.9704985332820248
BS_32_LR_0.01_DO_0.2_FLN_64_EP_100_PAT_15_HL_3,32,0.01,0.2,3,64,100,15,0.979,0.979,0.9793,0.979,0.094,0.0877,0.97,0.9699,0.9698,0.9699181794502693
